Age,Income,Credit_Score,Country
24,48859.56,819,Canada
50,40394.74,669,USA
39,102422.01,708,Canada
23,51065.61,646,USA
29,98212.46,671,USA
46,56548.59,704,USA
53,55929.15,737,USA
68,52845.62,708,USA
75,55094.04,759,USA
47,119198.59,685,USA
29,19365.79,672,Canada
18,22345.78,839,USA
45,43073.43,712,USA
31,55360.74,650,USA
37,75029.41,652,USA
34,68048.62,638,USA
40,46266.7,742,USA
56,86999.54,670,USA
44,87437.23,697,USA
40,59749.4,687,Canada
29,84819.81,730,Canada
20,62179.39,643,USA
36,42719.94,631,USA
41,75290.26,702,Canada
65,57806.95,723,USA
44,55033.17,708,USA
55,106715.06,645,USA
36,18255.03,727,USA
27,29060.37,649,USA
29,32238.18,661,USA
33,46705.69,638,USA
70,49046.04,762,USA
31,27911.44,725,USA
53,35304.56,723,USA
30,37335.87,759,Canada
54,166197.03,845,USA
47,123731.89,596,USA
40,45697.61,649,USA
41,46698.9,656,Canada
33,32792.22,643,USA
48,23305.15,631,Canada
36,52181.97,674,USA
26,35103.46,623,USA
25,52939.54,708,USA
44,26768.89,693,USA
63,39034.45,716,Canada
44,58804.32,718,Canada
40,64853.28,723,USA
46,66366.71,669,Canada
59,30359.61,807,USA
45,80797.16,703,USA
37,38368.54,588,USA
56,73121.27,635,USA
48,54737.32,594,Canada
62,29605.46,691,USA
44,47705.38,683,USA
26,64828.6,664,USA
24,72469.63,801,USA
63,51618.94,720,USA
64,109577.68,730,USA
40,86549.2,639,USA
37,49000.91,635,USA
61,77083.4,692,USA
28,131307.28,700,USA
30,132893.93,588,USA
50,31649.84,680,Canada
37,36248.33,691,Canada
42,107291.2,678,USA
40,34161.75,645,Canada
46,30331.59,660,USA
60,44192.09,680,USA
43,66449.03,695,USA
50,52523.18,723,USA
18,41041.33,749,Canada
41,40606.88,674,USA
31,39916.17,665,USA
26,37023.54,714,USA
31,153556.41,724,USA
38,62879.06,666,USA
54,81971.76,733,USA
25,44134.79,744,USA
42,50584.88,761,USA
36,39894.32,788,USA
38,16677.57,642,USA
55,29583.86,691,USA
49,24350.56,691,USA
59,19983.97,685,USA
40,32118.16,654,USA
33,99839.43,608,USA
39,53911.13,695,USA
45,98306.18,648,USA
44,66173.19,695,USA
28,78216.82,646,USA
43,36668.92,630,Canada
45,69624.12,703,Canada
75,76344.39,698,USA
66,42429.42,722,USA
31,70748.15,810,USA
38,70960.09,705,Canada
23,42949.91,717,USA
34,33184.65,631,USA
46,32280.89,619,Canada
58,57183.23,777,USA
33,63719.31,639,USA
33,38501.48,633,USA
18,55661.94,688,USA
40,71099.11,685,USA
28,72640.24,640,USA
35,110573.37,673,Canada
31,97707.13,758,Canada
41,35049.17,646,USA
19,117324.9,613,USA
23,43310.44,742,USA
70,88016.65,717,USA
25,56708.67,656,USA
28,45689.38,603,USA
66,24382.6,649,USA
75,50913.55,687,USA
27,27265.19,754,USA
37,84997.16,633,USA
46,108841.19,685,USA
64,38425.57,727,Canada
29,63005.37,559,USA
39,39682.37,747,Canada
52,41451.13,625,USA
48,77933.49,708,Canada
37,54054.4,704,USA
40,120322.4,750,USA
24,44270.94,720,Canada
39,86231.41,559,USA
39,57464.61,647,USA
45,78683.49,698,USA
35,44975.25,679,USA
48,53786.99,716,USA
55,52214.42,733,USA
44,37754.61,723,Canada
47,74089.21,678,USA
43,73695.76,588,USA
42,71839.38,665,USA
33,109833.74,713,Canada
46,105587.33,630,USA
41,46460.76,725,USA
69,65053.29,740,USA
62,41542.33,697,USA
47,55581.09,521,Canada
32,41990.61,620,USA
28,114018.97,794,Canada
57,64780.03,660,USA
45,49860.05,581,USA
48,94109.74,758,USA
19,20708.75,691,USA
54,22219.87,751,USA
48,78685.63,705,USA
28,56517.14,715,USA
36,61561.34,710,USA
45,30279.02,728,USA
43,54427.96,815,USA
38,135491.98,743,USA
41,79696.29,603,USA
39,59364.78,715,USA
44,45139.56,753,USA
61,46052.19,756,USA
18,21098.34,667,USA
39,61760.96,754,USA
44,80463.25,741,USA
46,27066.71,831,USA
37,40841.37,649,USA
19,32670.55,662,USA
46,35620.64,673,Canada
64,56339.73,663,USA
22,21527.95,641,Canada
53,72512.2,538,USA
38,77213.01,666,USA
41,49123.47,710,USA
28,18011.57,663,USA
38,35126.11,796,Canada
59,95788.16,691,USA
50,15756.23,761,Canada
65,47037.62,704,USA
57,32340.9,735,Canada
48,78995.42,705,Canada
65,40590.41,765,USA
48,65964.22,693,USA
53,70936.87,717,USA
38,125666.91,710,USA
43,50199.71,674,Canada
33,65140.93,712,USA
55,28192.56,813,USA
27,93974.11,675,USA
52,39060.21,713,USA
40,42733.96,759,Canada
57,54452.11,753,USA
52,27222.27,691,USA
66,60963.77,559,Canada
52,85003.55,718,USA
22,62749.68,568,USA
41,26905.46,771,USA
27,52019.52,699,USA
35,76803.19,745,USA
62,23623.41,640,Canada
50,33909.27,605,USA
33,81595.8,704,Canada
29,62108.08,688,Canada
42,66202.64,663,Canada
26,126989.68,695,USA
33,67909.91,842,USA
46,73949.53,736,USA
57,186264.68,748,USA
50,49954.93,736,USA
18,38408.77,771,USA
46,66675.77,680,USA
43,67012.5,577,USA
47,43393.57,680,USA
63,34561.99,735,USA
18,155518.26,637,USA
34,63714.54,680,Canada
50,39559.46,652,USA
21,83054.9,773,Canada
61,52363.92,731,Canada
47,49084.17,726,USA
53,70835.19,724,USA
35,30752.96,688,USA
53,64458.1,701,USA
56,130081.72,625,USA
45,67837.36,570,USA
45,46434.27,698,Canada
46,43778.19,708,Canada
31,45726.6,757,Canada
40,49060.29,776,USA
40,46400.96,776,USA
47,83069.15,635,Canada
55,25213.74,671,USA
28,81063.53,716,USA
40,46361.73,829,USA
61,65167.42,771,USA
32,33121.7,752,USA
31,100004.7,669,USA
45,96338.59,641,USA
53,84702.82,733,USA
42,27818.28,629,USA
59,79872.98,677,USA
53,65990.97,684,USA
53,26707.95,778,Canada
49,54401.92,670,USA
72,64804.41,556,USA
39,70637.92,718,Canada
18,59566.94,652,USA
63,62701.62,692,Canada
36,106746.65,685,USA
43,95492.57,675,USA
59,15137.25,733,USA
21,47678.75,606,USA
26,51072.2,662,Canada
21,25000.33,728,Canada
32,57381.13,656,Canada
48,96474.06,602,Canada
49,33729.66,727,USA
46,63989.15,752,Canada
24,36423.44,688,USA
18,40648.94,582,Canada
43,106928.49,729,USA
36,43085.31,599,USA
48,67716.43,707,Canada
51,23695.5,641,Canada
44,127151.09,626,USA
52,72134.09,666,USA
45,50663.63,680,USA
49,71259.57,655,Canada
33,29163.4,722,USA
40,93641.35,665,USA
45,47538.51,744,USA
53,50174.25,705,USA
37,44083.61,652,USA
49,42353.03,642,USA
39,75183.74,599,Canada
40,61712.79,706,Canada
53,73745.49,670,Canada
18,54782.76,560,USA
25,69288.09,661,USA
23,45551.85,640,USA
18,150011.58,777,Canada
33,27160.52,596,USA
52,97004.27,611,USA
38,101787.93,751,USA
45,37482.03,765,USA
56,149980.65,649,USA
59,86082.3,655,USA
41,85144.15,724,USA
60,55697.94,562,USA
43,49878.07,588,USA
31,50053.84,675,Canada
34,65566.96,775,USA
23,103323.72,666,USA
30,59675.68,696,Canada
37,36495.3,752,USA
52,79704.45,806,Canada
64,83250.24,658,USA
24,73842.17,689,Canada
47,76923.21,790,USA
28,48687.17,606,USA
48,36208.29,747,USA
40,37212.55,634,USA
18,26347.54,696,USA
54,61188.55,677,USA
34,52972.94,637,USA
35,45120.59,636,Canada
28,14545.84,705,USA
33,31375.91,745,USA
48,91077.56,683,Canada
40,40782.44,694,USA
46,64689.53,721,Canada
47,29415.59,637,Canada
59,105083.01,731,Canada
38,51548.38,735,Canada
23,62668.03,833,USA
56,156637.48,669,USA
38,108823.93,665,USA
56,47912.61,732,Canada
47,42114.16,735,USA
40,47505.14,661,Canada
47,69185.23,668,USA
67,52456.4,720,USA
69,46038.28,644,USA
43,106438.22,667,USA
44,52244.71,695,USA
56,154802.22,745,USA
31,57292.36,657,Canada
46,122820.81,589,USA
42,64594.35,585,USA
46,84831.37,621,USA
31,39696.31,618,USA
21,37455.05,681,USA
18,67640.09,625,USA
27,85814.0,651,Canada
36,56005.43,647,USA
38,30829.01,666,USA
67,29821.12,763,USA
56,28937.02,726,USA
29,24826.29,691,Canada
47,57777.63,665,USA
37,91250.0,666,Canada
38,54668.96,708,USA
44,19888.6,722,USA
50,50475.65,640,USA
38,51114.78,692,USA
56,141250.18,578,Canada
27,28548.98,702,USA
42,46132.99,732,Canada
75,118506.39,675,Canada
45,67344.65,790,USA
61,70868.36,642,USA
43,57910.35,702,USA
50,63803.48,688,USA
41,78042.81,684,Canada
40,38208.74,684,USA
32,81651.45,696,Canada
48,29650.58,737,USA
31,63758.26,766,USA
51,59606.62,690,USA
56,41679.16,735,USA
47,54441.4,651,Canada
38,41562.16,732,USA
48,33956.07,648,Canada
38,46908.86,750,Canada
54,33466.28,812,Canada
18,63598.64,683,USA
38,32779.22,569,Canada
18,75771.55,660,USA
23,32319.4,758,Canada
60,42627.54,720,USA
54,41523.59,704,USA
33,99848.02,745,USA
22,63813.43,717,USA
18,50001.5,757,USA
35,68838.07,741,Canada
73,21308.3,774,USA
48,53942.74,710,USA
35,135126.93,740,USA
48,58375.08,673,Canada
22,56706.8,657,Canada
38,70385.76,784,USA
43,82298.72,702,USA
41,22386.84,734,Canada
52,25797.72,697,Canada
46,60458.93,658,USA
51,39870.58,691,USA
33,99260.19,769,Canada
54,47727.35,721,USA
63,23029.92,596,Canada
29,31085.05,678,USA
30,15958.3,788,Canada
59,49500.2,678,USA
40,50529.65,591,USA
60,45436.92,794,Canada
36,89373.91,728,Canada
61,94317.53,686,Canada
44,50940.51,670,Canada
45,21046.22,750,USA
62,72610.53,660,USA
37,70615.19,753,USA
30,63216.12,720,USA
36,85541.28,703,USA
48,32562.47,698,Canada
22,135812.21,680,USA
50,35715.71,748,USA
35,77052.23,642,USA
57,25739.5,601,USA
18,36187.51,724,USA
32,108820.43,725,USA
20,48907.38,716,USA
31,80262.17,712,USA
45,61188.74,672,Canada
40,52462.68,733,USA
39,101602.27,687,USA
40,49443.8,663,USA
45,24680.19,673,USA
29,38316.29,801,USA
51,70482.85,595,Canada
51,65714.02,717,USA
47,27171.18,598,USA
49,39701.11,684,USA
46,42332.65,666,Canada
68,46659.28,575,USA
41,29611.77,711,USA
38,41453.25,669,Canada
32,39624.93,575,USA
29,77829.7,736,USA
26,79157.36,769,USA
30,51507.04,772,USA
41,46104.72,710,Canada
46,58574.48,693,USA
43,38087.05,763,USA
32,32827.24,783,USA
54,36025.74,752,USA
52,41333.25,638,Canada
40,32582.33,701,USA
34,59160.85,714,Canada
49,76378.81,590,USA
44,26927.25,716,USA
23,55625.47,815,USA
41,49817.29,725,Canada
45,64136.4,771,USA
30,54680.7,700,USA
44,28594.47,686,Canada
23,31163.83,711,USA
59,55733.08,645,USA
58,87381.59,637,USA
39,20306.66,760,Canada
47,64258.25,765,USA
18,93940.64,635,USA
27,51340.07,743,USA
38,70451.48,685,USA
28,40082.99,709,USA
51,52123.63,715,USA
68,26520.61,745,USA
27,19151.46,695,USA
31,84063.95,768,Canada
45,35307.15,707,USA
63,44806.16,724,USA
26,29471.81,644,Canada
45,29161.43,809,Canada
66,50861.5,716,USA
21,39607.7,729,USA
25,65197.44,602,USA
36,67422.28,645,USA
35,63542.92,758,USA
53,61234.06,706,USA
45,111869.04,585,USA
19,34018.89,747,USA
49,53657.03,660,USA
34,91564.5,768,USA
59,97161.65,685,USA
34,29007.07,701,Canada
34,47787.94,755,Canada
49,101340.66,641,USA
52,69128.62,635,USA
48,60051.44,679,USA
20,49867.78,735,USA
49,46275.97,617,USA
29,62616.68,598,USA
45,49095.37,735,USA
23,53956.21,657,USA
48,56980.13,668,USA
32,40536.43,588,USA
25,69880.83,653,USA
51,204127.19,690,Canada
45,24721.89,741,USA
34,63633.42,648,USA
61,39065.81,781,USA
36,71319.11,652,USA
42,56164.45,652,USA
45,77491.47,775,USA
34,93345.82,702,Canada
48,59974.69,660,USA
35,91538.23,681,USA
37,19151.85,764,USA
60,112509.39,771,USA
28,65112.15,645,USA
18,89332.26,688,Canada
63,31765.76,695,USA
75,37844.54,636,USA
37,58733.22,687,USA
18,54579.92,690,USA
38,62471.72,753,USA
38,89600.87,756,USA
40,24853.14,672,USA
28,85246.9,678,USA
50,55205.36,727,USA
49,50180.74,658,Canada
23,28369.97,722,Canada
51,68972.31,685,Canada
69,18559.55,637,Canada
44,73634.27,637,Canada
38,28103.26,770,Canada
40,56339.13,681,USA
50,52128.26,780,Canada
20,93095.45,662,Canada
44,50751.36,706,USA
37,40244.4,822,USA
66,43788.09,632,USA
40,97527.11,586,Canada
64,70012.01,761,USA
28,46237.89,645,Canada
50,49448.53,689,Canada
46,27169.73,658,Canada
31,65506.32,705,USA
44,24913.66,638,USA
58,77141.52,680,Canada
38,58277.31,715,Canada
20,161009.2,635,Canada
42,33524.35,651,USA
30,52516.91,671,USA
38,123539.71,611,USA
41,94015.39,667,Canada
20,40206.87,697,USA
21,60832.16,668,USA
48,55049.51,675,Canada
35,62440.45,689,USA
18,40162.23,654,USA
52,52833.16,728,USA
46,26794.85,769,Canada
33,58448.07,664,USA
25,67345.93,717,USA
53,49649.8,677,USA
47,26590.67,710,USA
73,85813.17,776,Canada
47,64804.14,718,USA
47,39671.24,592,USA
40,48475.72,715,USA
53,27995.17,758,USA
50,34670.83,678,USA
58,43177.44,745,Canada
35,95595.19,652,USA
36,41246.1,608,USA
36,73363.71,698,USA
52,43167.63,593,USA
61,61492.15,677,Canada
36,51609.47,761,USA
36,81467.87,585,Canada
46,43235.77,620,USA
39,27104.38,633,USA
54,29531.46,687,USA
18,43292.89,670,USA
31,31351.31,767,Canada
32,66150.24,742,USA
18,44600.16,717,USA
29,160117.21,698,USA
30,25162.67,712,USA
39,60278.06,643,Canada
56,33107.32,737,Canada
39,44049.0,629,USA
29,58613.9,736,Canada
41,19315.66,755,Canada
56,61185.18,702,USA
29,129494.91,680,USA
30,44848.31,712,USA
49,61821.22,533,Canada
39,87229.97,707,Canada
50,51088.23,684,USA
42,42347.15,687,Canada
51,19751.94,729,Canada
29,73389.36,686,USA
42,52269.21,627,USA
39,34869.95,682,Canada
26,58224.24,694,Canada
22,42295.34,696,USA
51,43360.18,699,USA
37,72252.3,747,USA
29,30116.14,630,USA
41,88113.44,700,USA
57,29323.07,761,USA
18,40817.77,595,USA
23,130667.9,700,USA
30,91344.93,658,USA
61,57469.54,670,USA
46,36020.73,640,Canada
52,43343.67,681,USA
27,56843.8,791,USA
27,55936.59,620,USA
48,52796.31,626,USA
43,54242.16,618,USA
49,49942.1,785,USA
40,28744.39,665,USA
46,43593.29,689,USA
44,83006.09,668,USA
52,29712.94,638,USA
52,50503.02,677,Canada
21,38032.61,825,Canada
18,57826.14,767,USA
55,46175.45,643,USA
57,106928.49,726,USA
29,69082.1,644,USA
18,30478.51,592,USA
43,74394.78,746,USA
54,38812.4,754,USA
65,42422.75,748,USA
49,63342.2,664,USA
37,44081.79,681,Canada
30,82196.96,731,Canada
42,38814.88,712,USA
38,41629.42,668,USA
29,40934.22,601,USA
69,42640.13,696,USA
65,90194.58,749,USA
57,72987.74,624,USA
30,118724.77,725,USA
53,152592.82,708,Canada
50,34588.13,731,USA
48,56770.78,738,USA
58,32396.26,652,USA
50,38760.84,601,USA
52,41421.33,661,USA
50,34179.07,739,USA
46,34260.19,660,USA
19,51542.42,652,USA
43,31810.93,590,USA
35,80341.82,786,Canada
25,36391.82,735,USA
64,194734.91,732,USA
64,44889.78,743,USA
60,56811.63,722,USA
45,30705.13,677,USA
60,118519.14,681,Canada
42,91022.66,666,USA
45,62862.22,835,USA
28,30002.24,721,USA
47,60469.15,664,USA
43,33204.63,716,USA
25,106207.32,634,USA
41,79159.98,773,USA
41,57413.57,654,USA
65,18374.51,718,USA
54,35332.24,749,USA
42,74950.34,711,USA
45,94929.15,695,Canada
43,90600.49,691,USA
39,26867.77,687,USA
28,62993.51,658,USA
40,86861.51,665,USA
32,26077.74,771,USA
26,54804.71,684,USA
49,62212.89,647,USA
47,48037.84,662,Canada
19,23899.57,751,USA
40,47501.87,727,USA
55,47467.52,721,USA
56,51454.64,676,USA
55,42681.73,722,USA
43,45059.22,655,USA
31,54026.0,676,USA
28,67117.03,743,USA
46,47958.74,738,USA
47,45740.82,636,Canada
59,57333.92,643,USA
56,23171.45,696,USA
40,68169.62,785,Canada
26,54986.07,585,USA
38,55991.24,705,USA
45,84746.43,614,USA
39,22841.21,655,Canada
34,22626.19,670,USA
45,62211.81,667,USA
35,54824.14,661,Canada
34,59377.35,690,USA
46,44673.3,661,Canada
37,74165.0,610,Canada
45,83681.73,733,Canada
46,68383.07,731,USA
27,48908.95,736,USA
36,21303.53,605,USA
61,77749.29,706,USA
27,95307.75,727,USA
18,73507.28,633,Canada
18,37021.32,691,USA
42,74480.75,684,USA
42,81009.91,791,USA
40,110919.03,796,USA
58,37080.22,598,USA
18,49671.37,827,USA
47,76984.62,640,Canada
62,56439.41,744,USA
27,33266.0,743,USA
37,66281.48,635,USA
32,71359.53,717,USA
30,57220.74,684,Canada
38,60712.31,720,Canada
61,48955.69,703,USA
66,106971.1,756,Canada
38,36672.3,694,USA
67,42226.11,681,USA
42,55272.56,750,Canada
65,81684.36,722,USA
41,28036.73,730,USA
44,30499.18,653,USA
47,21984.89,633,USA
75,55815.19,659,USA
53,33251.36,656,USA
33,46260.37,733,USA
55,74065.76,744,USA
37,41208.27,681,Canada
36,61032.72,769,USA
54,48068.69,765,Canada
42,74424.46,703,USA
46,68111.14,645,USA
42,40284.35,777,USA
46,50980.33,687,Canada
48,87971.92,697,USA
18,65651.0,671,Canada
51,29332.62,641,USA
29,73874.03,609,USA
23,33759.38,725,USA
41,103851.72,647,USA
43,87197.67,850,USA
33,62663.66,630,USA
53,59032.49,621,USA
25,50062.32,718,USA
37,74639.43,774,USA
34,46547.95,694,USA
41,61150.6,721,USA
46,81426.73,589,USA
29,42713.72,653,USA
51,41681.04,631,USA
43,32132.52,586,USA
18,34066.7,696,Canada
18,24156.54,567,USA
42,76382.69,617,USA
39,124131.9,660,Canada
41,104452.37,644,USA
42,26458.97,712,USA
45,76211.91,707,Canada
54,104301.01,739,Canada
28,44780.32,731,USA
27,57569.02,753,USA
28,22282.05,690,USA
46,62014.27,707,Canada
58,34080.7,718,Canada
36,60169.7,698,USA
18,27242.87,668,USA
20,70219.03,672,USA
31,87213.91,645,USA
35,38663.74,713,USA
37,32973.96,685,USA
43,20845.18,654,USA
38,48786.18,654,USA
56,42335.07,623,USA
33,27368.0,744,USA
31,67436.85,694,USA
48,44918.36,643,USA
22,33894.47,734,Canada
47,42853.0,659,USA
43,89069.79,613,USA
40,72143.33,746,USA
63,51874.19,660,USA
34,72670.13,668,USA
69,32619.91,692,USA
39,55807.02,753,USA
25,58769.81,691,USA
43,44518.59,624,USA
28,66906.05,720,USA
32,38711.55,663,USA
47,69182.82,794,USA
49,70504.01,690,USA
34,14799.76,567,USA
55,93969.55,710,USA
57,13955.85,797,USA
61,41683.74,777,USA
49,87246.71,791,Canada
60,47682.01,634,Canada
18,28432.97,740,Canada
38,33621.02,650,USA
31,87307.88,702,USA
44,23165.32,620,USA
35,91412.22,655,USA
40,53652.99,653,USA
66,32161.02,739,USA
40,42306.11,734,USA
47,34798.78,705,USA
39,81217.81,616,USA
43,76472.08,673,USA
42,25373.64,649,USA
48,45865.66,738,Canada
57,37296.51,755,USA
63,98436.6,748,USA
46,29957.77,648,USA
50,113209.07,539,USA
27,54182.1,593,USA
41,32604.9,768,USA
54,40550.97,668,USA
53,38344.25,649,USA
45,30992.8,780,USA
54,57397.76,760,Canada
48,31651.05,691,USA
58,20618.08,674,USA
46,46361.94,683,USA
37,24435.77,702,USA
46,39207.22,778,USA
18,36533.76,713,USA
47,37161.97,730,USA
18,135336.81,754,USA
20,56414.06,626,USA
48,61420.9,732,USA
48,24728.44,674,Canada
27,40978.59,552,Canada
33,60595.42,573,Canada
60,34684.58,634,USA
36,82761.37,719,USA
71,32012.28,696,USA
42,48350.11,700,Canada
47,42250.24,797,USA
63,59221.08,620,USA
44,41227.79,688,USA
29,48687.93,707,USA
41,49455.57,650,USA
42,39522.05,692,USA
24,68417.28,602,USA
39,61228.21,768,Canada
32,52849.96,653,USA
54,45314.49,802,Canada
42,78710.61,688,USA
38,49462.15,747,Canada
41,47909.77,687,USA
45,57653.08,688,Canada
50,118013.28,658,USA
29,30089.4,697,USA
28,77771.01,707,USA
56,23462.56,647,USA
37,60649.18,683,USA
24,111733.93,656,USA
48,68527.42,816,Canada
48,59389.32,685,USA
22,42739.82,775,USA
45,55773.81,679,USA
52,49102.25,704,Canada
47,38615.11,617,Canada
50,48273.81,665,USA
24,60135.76,702,Canada
46,38942.47,777,USA
38,38263.88,702,Canada
36,29821.32,766,Canada
53,65572.7,725,USA
61,70296.97,780,USA
65,61043.11,687,USA
59,84915.78,821,USA
41,57218.29,663,Canada
47,65610.66,648,USA
52,63058.32,623,USA
44,52780.41,818,Canada
44,43313.46,735,USA
53,148963.58,672,USA
